trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.99, 'e': 0.6556592205741436}",20,12,2.281545814192515,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
43,False,"{'a': 0.99, 'e': 0.6491026283684022}",25,6,-138.18058535007933,"{0: 11, 1: 1, 2: 3, 3: 2, 4: 2}",1
44,False,"{'a': 0.99, 'e': 0.6426116020847181}",25,0,-26.586029770436834,"{0: 17, 1: 7, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.99, 'e': 0.6361854860638709}",20,0,-48.668823380402394,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
46,False,"{'a': 0.99, 'e': 0.6298236312032323}",30,0,-133.75958543194164,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
47,False,"{'a': 0.99, 'e': 0.6235253948912}",25,0,-55.837329680647585,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
48,False,"{'a': 0.99, 'e': 0.617290140942288}",25,14,-56.28068403543637,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 1}",1
49,False,"{'a': 0.99, 'e': 0.611117239532865}",20,0,-71.67925138891472,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
50,False,"{'a': 0.99, 'e': 0.6050060671375364}",30,0,3.264271407818328,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
51,False,"{'a': 0.99, 'e': 0.598956006466161}",20,0,-27.801175873704654,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
52,False,"{'a': 0.99, 'e': 0.5929664464014994}",25,0,-93.92396322784526,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.99, 'e': 0.5870367819374844}",20,0,-48.02076814279268,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
54,False,"{'a': 0.99, 'e': 0.5811664141181095}",25,0,-43.31632173975089,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
55,False,"{'a': 0.99, 'e': 0.5753547499769285}",25,4,-98.45307439847312,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 1}",1
56,False,"{'a': 0.99, 'e': 0.5696012024771592}",30,0,-8.325994075935979,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.99, 'e': 0.5639051904523875}",20,3,0.9527116170258141,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.99, 'e': 0.5582661385478637}",20,8,8.875509246112891,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.99, 'e': 0.5526834771623851}",25,0,-128.1419910894195,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
60,False,"{'a': 0.99, 'e': 0.5471566423907612}",20,8,-13.222229679803194,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
61,False,"{'a': 0.99, 'e': 0.5416850759668536}",25,0,-150.77868332699,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.99, 'e': 0.536268225207185}",25,0,-1.0560440313511368,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
63,False,"{'a': 0.99, 'e': 0.5309055429551132}",20,7,-78.5759424423399,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 2}",1
64,False,"{'a': 0.99, 'e': 0.525596487525562}",20,0,-107.40280717744334,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
65,False,"{'a': 0.99, 'e': 0.5203405226503064}",20,0,-57.58030520438289,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
66,False,"{'a': 0.99, 'e': 0.5151371174238033}",25,0,-43.85273293078525,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
67,False,"{'a': 0.99, 'e': 0.5099857462495653}",20,14,13.792989209628985,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.99, 'e': 0.5048858887870696}",25,0,-23.57075926287261,"{0: 20, 1: 0, 2: 5, 3: 0, 4: 0}",0
69,False,"{'a': 0.99, 'e': 0.4998370298991989}",25,0,0.7196750904982325,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.99, 'e': 0.49483865960020695}",25,15,-7.25356599018762,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
