trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
75,False,"{'a': 0.1, 'e': 0.0005530843701478336}",30,0,29.569414569704634,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.0005004514334406104}",25,18,16.43726869084041,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.00045282718288679695}",25,14,19.89192808803694,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.1, 'e': 0.00040973497897978643}",30,0,37.9460524902471,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.0003707435404590882}",20,7,17.447339617230696,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.00033546262790251185}",20,0,20.223424550774514,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.0003035391380788668}",25,12,25.53268960278315,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.00027465356997214205}",25,0,35.530940575933776,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.1, 'e': 0.00024851682710795185}",35,1,56.38247370484744,"{0: 34, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.0002248673241788482}",30,17,24.890453522715067,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.00020346836901064417}",20,0,26.476335289040993,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.0001841057936675792}",20,3,24.640567102140043,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'a': 0.1, 'e': 0.00016658581098763324}",25,16,17.51890606498062,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
