trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",30,13,-54.154341893751685,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 0}",1
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",30,0,-38.67142320733521,"{0: 21, 1: 5, 2: 4, 3: 0, 4: 0}",0
44,False,"{'a': 0.01, 'e': 0.9047516632199634}",30,13,-73.31187878554717,"{0: 11, 1: 1, 2: 4, 3: 0, 4: 1}",1
45,False,"{'a': 0.01, 'e': 0.9004471023526769}",25,6,-47.78772956402714,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 0}",1
46,False,"{'a': 0.01, 'e': 0.8960524975255252}",25,0,-72.48505115718967,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.01, 'e': 0.891568288195329}",25,0,-99.40727373904593,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
48,False,"{'a': 0.01, 'e': 0.8869949227792842}",30,0,-104.82641552784193,"{0: 18, 1: 6, 2: 5, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.8823328586101215}",25,0,-81.36120327883602,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
50,False,"{'a': 0.01, 'e': 0.8775825618903728}",35,0,-219.27213290977903,"{0: 23, 1: 3, 2: 3, 3: 2, 4: 4}",0
51,False,"{'a': 0.01, 'e': 0.8727445076457513}",20,11,-80.15826964834939,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 2}",1
52,False,"{'a': 0.01, 'e': 0.8678191796776499}",20,0,-141.95218476720058,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 3}",0
53,False,"{'a': 0.01, 'e': 0.862807070514761}",20,0,-48.44082897565958,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.8577086813638242}",25,0,-186.9755494386535,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
55,False,"{'a': 0.01, 'e': 0.8525245220595057}",30,0,-93.80586153936589,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
56,False,"{'a': 0.01, 'e': 0.8472551110134161}",25,0,-91.9141145493098,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
57,False,"{'a': 0.01, 'e': 0.8419009751622687}",30,0,-78.30505631167946,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.01, 'e': 0.8364626499151869}",20,15,9.059300552918787,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.01, 'e': 0.8309406791001636}",20,10,-79.08260870668197,"{0: 4, 1: 1, 2: 4, 3: 0, 4: 1}",1
60,False,"{'a': 0.01, 'e': 0.8253356149096783}",25,1,-42.000420892693036,"{0: 19, 1: 3, 2: 1, 3: 0, 4: 1}",1
61,False,"{'a': 0.01, 'e': 0.8196480178454795}",30,0,-102.95393081648362,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
62,False,"{'a': 0.01, 'e': 0.8138784566625339}",30,8,-121.01094765551456,"{0: 11, 1: 6, 2: 3, 3: 0, 4: 2}",1
63,False,"{'a': 0.01, 'e': 0.8080275083121519}",30,0,-129.9109808324619,"{0: 20, 1: 1, 2: 7, 3: 0, 4: 2}",0
64,False,"{'a': 0.01, 'e': 0.8020957578842927}",20,0,-100.68060586998595,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
65,False,"{'a': 0.01, 'e': 0.7960837985490559}",25,2,-74.11391008162201,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 1}",1
66,False,"{'a': 0.01, 'e': 0.7899922314973651}",25,0,-84.3415264019402,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
67,False,"{'a': 0.01, 'e': 0.7838216658808492}",30,1,-105.84365093251736,"{0: 16, 1: 2, 2: 10, 3: 1, 4: 0}",1
68,False,"{'a': 0.01, 'e': 0.7775727187509279}",20,0,-38.56105275608367,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.01, 'e': 0.7712460149971065}",20,0,-110.10704657048734,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
70,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-71.44237275856109,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
