trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-112.86619414061158,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-99.10065187442058,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-109.29091407821858,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-84.18347467984806,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-86.13662579739244,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-79.8462609818062,"{0: 20, 1: 2, 2: 1, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-19.518246686678488,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-92.5507248675116,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-76.42266583120706,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,3,-56.58808351794028,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,9,-39.62212748497992,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-12.959007839384848,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,15,12.638012772699351,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,1,11.971331659308166,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-40.06686980847998,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,6,-18.928824695426833,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,3.7340368521526646,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,3,29.117592568703216,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,3,26.80502366874262,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,11,20.008146923185162,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,33.21574564115061,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,14,11.955096706151568,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,0,25.86552797080713,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,13,14.84121119076024,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,6,13.506355395336762,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,11,14.322592713130486,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,10,20.379924907773244,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,0,-13.917449672917229,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",25,3,-24.27675781849347,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",25,12,10.3826453074701,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
