trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.99, 'e': 0.99}",30,0,-48.43699586884599,"{0: 23, 1: 2, 2: 4, 3: 1, 4: 0}",0
2,False,"{'a': 0.99, 'e': 0.9801}",25,0,-129.60828267688441,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.99, 'e': 0.970299}",20,0,-98.91095496455641,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.99, 'e': 0.96059601}",20,0,-33.275605177286124,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.99, 'e': 0.9509900498999999}",20,0,-45.51685108388918,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",1
6,False,"{'a': 0.99, 'e': 0.941480149401}",20,0,-52.590447237131436,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
7,False,"{'a': 0.99, 'e': 0.9320653479069899}",30,0,-200.20501292886883,"{0: 18, 1: 3, 2: 5, 3: 0, 4: 4}",0
8,False,"{'a': 0.99, 'e': 0.9227446944279201}",30,0,-80.93596306778483,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
9,False,"{'a': 0.99, 'e': 0.9135172474836408}",20,0,-102.14883046937918,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.99, 'e': 0.9043820750088044}",25,0,-58.8441867956241,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
11,False,"{'a': 0.99, 'e': 0.8953382542587164}",25,0,-37.75250212438829,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.99, 'e': 0.8863848717161292}",25,0,-116.10112308883441,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
13,False,"{'a': 0.99, 'e': 0.8775210229989678}",20,0,-52.96780897337718,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
